name,amount,category
CCV*DUOPLANT IMPORT-EX,-19.00,Shopping_Gifts
STICHTING GO,-77.86,Family_Day care
ODIDO NETHERLANDS B.V.,-35.00,Multimedia_Internet
Chernov via Tikkie,-60.00,House & Garden_Repairs
TAF BV,-12.37,Home_Insurance & Fees
Groei groter rekening K98100562,-100.00,Family_Allowance
Oranje spaarrekening K58675097,-500.00,Exclude_Exclude
Atlantic transfer,-876.40,Finances_Loans
Thanveer Ahamed,225.00,Exclude_Exclude
Revolut Bank UAB,-225.00,Exclude_Exclude
Disney on ice,-225.00,Leisure_Outings
Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-250.00,Food & Drinks_Groceries
Centrale Salarisadministratie,6445.79,Salary_Salary
DIRK VDBROEK FIL3350,-26.63,Food & Drinks_Groceries
Odido Netherlands B.V.,-0.01,Leisure_Outings
CM.com Ticketing BV via CM.com,-12.00,Transport_Parking
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
Action 1194,-18.48,House & Garden_Fitment
ETOS FR.8491,-18.08,Wellbeing & Beauty_Daily care
Oranje spaarrekening L98105976,89.43,Exclude_Exclude
Revolut Bank UAB,-50.00,Family_Allowance
BELASTINGDIENST,298.00,Reimbursement_Reimbursement
BELASTINGDIENST,101.00,Reimbursement_Reimbursement
HMSHost Amsterdam The,-4.65,Food & Drinks_Groceries
Marktplaats via Online Payments Stichting,-13.40,Leisure_Outings
RVO.NL,41.66,Reimbursement_Reimbursement
Geldautomaat,-300.00,Family_Allowance
Oranje spaarrekening K58675097,300.00,Exclude_Exclude
NS GROEP IZ NS REIZIGERS,-5.11,Transport_Public Transport
Diversen,-3.65,Others_Withdrawals & Bank charges
VITENS NV,-20.00,Home_Utilities
Goudse Schadeverzekeringen N.V,-13.66,Transport_Public Transport
Action 1203,-5.47,House & Garden_Equipment
BCK*Hebbo,-62.97,Food & Drinks_Restaurants
BUDGET MOBIEL,-12.00,Multimedia_Telephone
Diversen,-17.66,Leisure_Outings
BUDGET MOBIEL,-9.00,Multimedia_Telephone
CZ Groep Zorgverzekeraar,-500.94,Wellbeing & Beauty_Care & Pharmacy
Action 1194,-4.10,House & Garden_Repairs
Action 1203,-2.47,House & Garden_Equipment
